level,role,type,count
1,Topics Speaker,required,1
1,Individual Evaluator,required,1
1,Timer,elective,1
1,Ah-Counter,elective,1
2,Grammarian,required,1
2,Topicsmaster,required,1
2,Individual Evaluator,required,1
2,TME,elective,1
2,Timer,elective,1
2,Ah-Counter,elective,1
3,TME,required,1
3,Individual Evaluator,required,1
3,Topicsmaster,elective,1
3,Topics Speaker,elective,1
3,Introductory Mentor,elective,1
4,TME,required,1
4,GE,required,1
4,Individual Evaluator,required,1
4,Topicsmaster,elective,1
4,Topics Speaker,elective,1
4,Photographer,elective,1
4,Welcome Officer,elective,1
5,Debater,elective,1
5,Panelist,elective,1
5,TME,required,2
5,GE,required,2
5,Individual Evaluator,required,2
5,Topicsmaster,elective,1
5,Topics Speaker,elective,1
5,Timer,elective,1
5,Ah-Counter,elective,1
5,Grammarian,elective,1
5,Photographer,elective,1
5,Club Mentor,elective,1
5,Welcome Officer,elective,1
5,Debater,elective,1
5,Panelist,elective,1
