Type,Title,Role,Owner,Duration_Min,Duration_Max
Section,OPENING,,,0,
SAA Introduction,,SAA,Fei Ding,0,1
President's Address,,President,Siqi Shao,0,2
Toastmaster of the Evening's Address,,Toastmaster,,0,2
Ah-Counter Introduction,,Ah-Counter,,0,1
Grammarian Introduction,,Grammarian,,0,2
Timer Introduction,,Timer,,0,1
Section,FEATURED SESSION,,,0,
Debate,Debate,,,0,40
Table Topics,Table Topics,Topicmaster,,0,20
New Guest Greetings,New Guest Greetings,Welcome Officer,,0,5
Generic,Networking & Break,,,0,10
Section,PREPARED SPEECHES,,,0,
Pathway Speech,Pathway Speech,Prepared Speaker,,,
Pathway Speech,Pathway Speech,Prepared Speaker,,,
Pathway Speech,Pathway Speech,Prepared Speaker,,,
Section,EVALUATION REPORTS,,,0,
General Evaluator's Address,,General Evaluator,,0,1
Evaluation,,Individual Evaluator,,2,3
Evaluation,,Individual Evaluator,,2,3
Evaluation,,Individual Evaluator,,2,3
Ah-Counter Report,,Ah-Counter,,0,1
Grammarian Report,,Grammarian,,0,2
Timer Report,,Timer,,0,1
General Evaluation Report,,General Evaluator,,0,5
Section,AWARDS & CLOSING,,,0,
Voting and Announcements,,Toastmaster,,0,3
Awards / Meeting Closing,,President,Siqi Shao,0,2
Hidden Section,ADDITIONAL ROLES,,,0,
Photography,,Photographer,,0,
Topics Speech,Topics Speaker,Topics Speaker,,1,2
Topics Speech,Topics Speaker,Topics Speaker,,1,2
Topics Speech,Topics Speaker,Topics Speaker,,1,2
Topics Speech,Topics Speaker,Topics Speaker,,1,2
Topics Speech,Topics Speaker,Topics Speaker,,1,2
Topics Speech,Topics Speaker,Topics Speaker,,1,2
