Type,Title,Role,Owner,Duration_Min,Duration_Max
Section,OPENING,,,0,
SAA Introduction,SAA Introduction,SAA,,0,1
President's Address,President's Address,President,,0,2
Generic,Introduction to Contest Team,Toastmaster,,0,3
Section,International Speech Contest,,,0,
Contest Chair Address,Contest Chair Address,Contest Chair,,0,5
Speech Contest,International Speech Contest,,,0,50
Ballot Counting,Ballot Counting,Ballot Counter,,0,2
New Guest Greetings,New Guest Greetings,Welcome Officer,,0,5
Generic,Networking & Break,,,0,10
Section,Table Topics Contest,,,0,
Contest Chair Address,Contest Chair Address,Contest Chair,,0,5
Speech Contest,Table Topics Speech Contest,,,0,35
Ballot Counting,Ballot Counting,Ballot Counter,,0,2
Section,EVALUATION REPORTS,,,0,
Chief Judge Report,Chief Judge Report,Chief Judge,,0,10
Voting and Announcements,Voting and Announcements,Toastmaster,,0,2
Awards / Meeting Closing,Awards / Meeting Closing,President,,0,2
Hidden Section,ADDITIONAL ROLES,,,0,
Photography,Photography,Photographer,,0,
