1,7/1/2006,18:55
Opening,,
SAA Introduction,Fei Ding,
President's Address,Siqi Shao,
Toastmaster of the Evening's Address,,
Ah-Counter Introduction,,
Grammarian Introduction,,
Timer Introduction,,
,,
Featured Session,,
Keynote Speech,,
Table Topics,,
New Guest Greetings,,
Networking,Members & Guests,
,,
Prepared Speeches,,
Pathway Speech,,
Pathway Speech,,
Pathway Speech,,
,,
Evaluation Reports,,
General Evaluator's Address,,
Evaluation,,
Evaluation,,
Evaluation,,
Ah-Counter Report,,
Grammarian Report,,
Timer Report,,
General Evaluation Report,,
,,
Awards & Closing,,
Voting and Announcements,,
Awards / Meeting Closing,Siqi Shao,
,,
Additional Roles,,
Backup Speaker,,
Photographer,,
